Attraction_Id,Attraction_Nm,Attraction_url,Rankings,Category,Address,No_of_Reviews,Weekday_Hours,Weekend_Hours,Overall_Rating,Rating_Excellent,Rating_Good,Rating_Average,Rating_Poor,Rating_Terrible
d185440,Halifax Public Gardens,https://www.tripadvisor.com/Attraction_Review-g154976-d185440-Reviews-Halifax_Public_Gardens-Halifax_Halifax_Region_Nova_Scotia.html,#2 of 112 things to do in Halifax,"Nature & Parks, Gardens","Spring Garden Road and South Park St, Halifax, Nova Scotia B3T 2M3, Canada",3698,Open Now: 8:00 AM - 4:00 PM,Sun - Sat8:00 AM - 4:00 PM,4.5,69%,26%,3%,1%,1%
d155412,Halifax Citadel National Historic Site of Canada,https://www.tripadvisor.com/Attraction_Review-g154976-d155412-Reviews-Halifax_Citadel_National_Historic_Site_of_Canada-Halifax_Halifax_Region_Nova_Scoti.html,#8 of 112 things to do in Halifax,"Museums, Sights & Landmarks, Lookouts, Military Museums, Historic Sites More","5425 Sackville St, Halifax, Nova Scotia B3J 3Y3, Canada",3400,Open Now: 9:00 AM - 6:00 PM,Sun - Sat9:00 AM - 6:00 PM,4.5,58%,34%,6%,1%,1%
d629037,Annapolis Valley,https://www.tripadvisor.com/Attraction_Review-g154967-d629037-Reviews-Annapolis_Valley-Nova_Scotia.html,"#281 of 1,093 things to do in Nova Scotia","Nature & Parks, Valleys","Nova Scotia, Canada",18,,,5.0,89%,11%,0%,0%,0%
d186150,Cabot Trail,https://www.tripadvisor.com/Attraction_Review-g154972-d186150-Reviews-Cabot_Trail-Cape_Breton_Island_Nova_Scotia.html,#3 of 246 things to do in Cape Breton Island,"Outdoor Activities, Nature & Parks, Sights & Landmarks, Hiking Trails, Scenic Drives More","Cape Breton Highlands, Nova Scotia, Canada",1599,,,4.5,76%,17%,5%,1%,1%
d6749512,Halifax Waterfront Boardwalk,https://www.tripadvisor.com/Attraction_Review-g154976-d6749512-Reviews-Halifax_Waterfront_Boardwalk-Halifax_Halifax_Region_Nova_Scotia.html,#9 of 112 things to do in Halifax,"Sights & Landmarks, Piers & Boardwalks","entre le quai Purdys et la rue Salter, Halifax, Nova Scotia, Canada",2859,,,4.5,60%,32%,6%,1%,1%
d604880,Halifax Harbour Ferry,https://www.tripadvisor.com/Attraction_Review-g154976-d604880-Reviews-Halifax_Harbour_Ferry-Halifax_Halifax_Region_Nova_Scotia.html,#6 of 115 things to do in Halifax,"Transportation, Ferries","Halifax, Nova Scotia, Canada",1001,,,4.5,60%,33%,5%,1%,1%
d155415,Canadian Museum of Immigration at Pier 21,https://www.tripadvisor.com/Attraction_Review-g154976-d155415-Reviews-Canadian_Museum_of_Immigration_at_Pier_21-Halifax_Halifax_Region_Nova_Scotia.html,#4 of 112 things to do in Halifax,"Museums, History Museums","1055 Marginal Rd, Halifax, Nova Scotia B3H 4P7, Canada",1680,Closed today: Closed,Wed - Sun10:00 AM - 5:30 PM,4.5,63%,28%,7%,1%,1%
d183451,Fisheries Museum of the Atlantic,https://www.tripadvisor.com/Attraction_Review-g182187-d183451-Reviews-Fisheries_Museum_of_the_Atlantic-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#6 of 30 things to do in Lunenburg,"Museums, Specialty Museums","68 Bluenose Drive, Lunenburg, Nova Scotia B0J 2C0, Canada",835,,,4.5,58%,33%,7%,1%,1%
d155442,Fairview Lawn Cemetery,https://www.tripadvisor.com/Attraction_Review-g154976-d155442-Reviews-Fairview_Lawn_Cemetery-Halifax_Halifax_Region_Nova_Scotia.html,#10 of 112 things to do in Halifax,"Sights & Landmarks, Cemeteries","3720 Windsor Street, Halifax, Nova Scotia B3J 3A5, Canada",719,,,4.5,52%,40%,6%,1%,1%
d258307,Sunrise Trail,https://www.tripadvisor.com/Attraction_Review-g154967-d258307-Reviews-Sunrise_Trail-Nova_Scotia.html,"#439 of 1,093 things to do in Nova Scotia","Outdoor Activities, Sights & Landmarks, Scenic Drives","Nova Scotia, Canada",8,,,4.5,76%,12%,12%,0%,0%
d155414,Maritime Museum of the Atlantic,https://www.tripadvisor.com/Attraction_Review-g154976-d155414-Reviews-Maritime_Museum_of_the_Atlantic-Halifax_Halifax_Region_Nova_Scotia.html,#11 of 112 things to do in Halifax,"Museums, Specialty Museums, Military Museums, History Museums More","1675 Lower Water St, Halifax, Nova Scotia B3J 1S3, Canada",2909,Open Now: 9:30 AM - 8:00 PM,Sun1:00 PM - 5:00 PMTue9:30 AM - 8:00 PMWed - Sat9:30 AM - 5:00 PM,4.5,54%,36%,8%,1%,1%
d1750122,Bluenose II,https://www.tripadvisor.com/Attraction_Review-g182187-d1750122-Reviews-Bluenose_II-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#3 of 30 things to do in Lunenburg,"Sights & Landmarks, Ships","Lunenburg Marine Museum Society, Lunenburg, Nova Scotia, Canada",410,,,4.5,57%,25%,13%,4%,1%
d10459768,Sydney Waterfront District,https://www.tripadvisor.com/Attraction_Review-g154973-d10459768-Reviews-Sydney_Waterfront_District-Sydney_Cape_Breton_Island_Nova_Scotia.html,#4 of 38 things to do in Sydney,"Sights & Landmarks, Piers & Boardwalks, Scenic Walking Areas","333 Charlotte St, Sydney, Nova Scotia B1P 1E1, Canada",85,,,4.0,44%,36%,15%,5%,0%
d7352023,Halifax Central Library,https://www.tripadvisor.com/Attraction_Review-g154976-d7352023-Reviews-Halifax_Central_Library-Halifax_Halifax_Region_Nova_Scotia.html,#1 of 112 things to do in Halifax,"Traveler Resources, Libraries","5540 Spring Garden Rd, Halifax, Nova Scotia B3J 1E9, Canada",1007,,,5.0,85%,12%,2%,1%,0%
d5565950,The Big Fiddle,https://www.tripadvisor.com/Attraction_Review-g154973-d5565950-Reviews-The_Big_Fiddle-Sydney_Cape_Breton_Island_Nova_Scotia.html,#1 of 38 things to do in Sydney,"Sights & Landmarks, Points of Interest & Landmarks","74 Esplanade St, Sydney, Nova Scotia B1P 1A1, Canada",492,Open Now: 12:00 AM - 11:59 PM,Sun - Sat12:00 AM - 11:59 PM,4.0,44%,35%,17%,3%,1%
d5555824,Petersfield Provincial Park,https://www.tripadvisor.com/Attraction_Review-g154973-d5555824-Reviews-Petersfield_Provincial_Park-Sydney_Cape_Breton_Island_Nova_Scotia.html,#2 of 38 things to do in Sydney,Nature & Parks,"1126 Westmount Road, Sydney, Nova Scotia B1R 1C6, Canada",65,,,4.5,62%,35%,3%,0%,0%
